###länge 35 cm
#einzeln:rechts*5[s]     einzeln:links*5[s]       gegensinnig*5[s]    
#sonia
6.09    6.87    5.40
6.02    6.13    5.50
6.32    6.35    5.57
6.59    6.29    5.47
6.36    6.47    5.86
6.20    6.39    5.53
6.33    6.37    5.50
6.50    6.40    5.39
6.49    6.40    5.59
6.19    6.33    5.46
#jana
6.58    6.45    5.36
6.36    6.16    5.16
6.22    6.13    5.32
6.10    6.18    5.38
6.46    6.01    5.56
6.23    6.13    5.30
6.20    6.13    5.35
6.22    6.18    5.32
6.22    6.32    5.32
6.22    6.49    5.36
