###länge 102 cm
#einzeln:rechts*5[s]     einzeln:links*5[s]       gegensinnig*5[s]     gekoppelt:schwingungsdauer*2[s]      gekoppelt:schwebungsdauer[s]
#sonia
9.66    10.06   9.44    3.46    26.33
10.02   9.99    9.46    3.79    26.52
9.69    9.49    9.37    3.70    26.51
9.40    9.73    9.40    3.85    26.20
9.76    9.72    9.29    3.92    26.37
9.66    10.04   9.33    #       #
9.83    9.96    9.33    #       #
9.82    9.94    9.37    #       #
9.46    9.87    9.26    #       #
9.82    10.13   9.30    #       #
#jana
9.58    10.03   8.96    3.86    25.72
9.86    9.88    9.14    3.55    27.57
9.92    9.90    9.03    3.35    26.58
9.65    9.88    9.02    3.41    25.26
9.89    9.92    9.16    3.54    26.10
9.68    9.69    9.10    #       #
9.51    9.60    9.04    #       #
9.80    9.83    9.31    #       #
9.92    9.75    9.42    #       #
9.93    9.76    9.11    #       #
