###länge 102 cm
#einzeln:rechts*5[s]     einzeln:links*5[s]       gegensinnig*5[s]
#sonia
9.66    10.06   9.44
10.02   9.99    9.46
9.69    9.49    9.37
9.40    9.73    9.40
9.76    9.72    9.29
9.66    10.04   9.33
9.83    9.96    9.33
9.82    9.94    9.37
9.46    9.87    9.26
9.82    10.13   9.30
#jana
9.58    10.03   8.96
9.86    9.88    9.14
9.92    9.90    9.03
9.65    9.88    9.02
9.89    9.92    9.16
9.68    9.69    9.10
9.51    9.60    9.04
9.80    9.83    9.31
9.92    9.75    9.42
9.93    9.76    9.11
