#U_g [V]    I[pA]
-19         8300
-18         7800
-16         7500
-13         7200
-12         7000
-11         6800
-10.5       6600
-10         6500
-9          6000
-8          5800
-7          5400
-6.5        5000
-5          4400
-4.5        4000
-4          3400
-3.5        3000
-3          2750
-2.5        2000
-2          1750
-1.5        1300
-1.4        1250
-1.3        1000
-1.25       700
-1.2        500
-1.15       400
-1.1        600
-1          600
-0.95       150
-0.9        120
-0.85       120
-0.7        100
-0.65       50
-0.6        30
-0.55       20
-0.5        15
-0.4        10
-0.35       1
-0.3        1
-0.25       0.5
-0.15       0.25
-0.1        0.125
-0.05       0.1
-0.01       0
0.01        0
0.5         0
1           0
2           0
3           0
4           0
5           0
10          0
15          0
19          0
