#U_g[V]      I[pA]
-5.0         300
-4.5         275
-4.0         235
-3.5         205
-3.0         175
-2.5         160
-2.0         100
-1.75        75
-1.5         56
-1.4         52
-1.3         43
-1.2         36
-1.1         30
-1.0         21
-0.9         21
-0.8         18
-0.7         14
-0.6         10
-0.5         14
-0.4         11
-0.3         8
-0.2         6
-0.1         4
0.001       4
0.1         2
0.25        1
0.5         0.5
1.0         0
2.0         0
3.0         0
4.0         0
5.0         0
