## nu in kHz    U in mV
20.6    84
21.2    84
21.8    94
22.7    91
22.9    98
22.9    82
22.9    98
23.0    96
23.3    84
23.3    96
23.6    100
23.8    81
23.9    82
23.9    84
23.9    99
23.9    100
24.0    82
24.0    95
24.9    100
25.0    76
25.4    70
25.4    81
25.5    78
25.7    90
25.9    69
26.0    72
26.8    63
27.0    65
27.5    63
27.9    67
28.6    60
28.6    62
30.5    57
30.6    56
30.7    57
31.9    69
32.2    52
32.3    60
33.4    50
33.7    55
35.1    51
35.5    48
36.6    46
37.1    45
37.7    50
38.6    43
39.1    42
39.7    41
40.2    50
